Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
182.34483;     -0.40986;      0.40734;     -0.39745;0.37537;     -0.40431;0.40128;     -0.38699;0.36708;     -0.40339;0.39208;     -0.45071;0.42868;     -0.43812;0.36877;     -0.47839;0.42378;     -0.48054;0.4527;     -0.47174;0.43263
183.34483;     -0.40891;      0.40786;     -0.39720;0.3758;     -0.40383;0.40182;     -0.38652;0.36748;     -0.40313;0.39251;     -0.44990;0.42912;     -0.43509;0.36913;     -0.47770;0.4242;     -0.47997;0.45328;     -0.47285;0.43308
184.34483;     -0.40797;      0.40856;     -0.39700;0.37625;     -0.40341;0.40236;     -0.38603;0.36783;     -0.40297;0.39293;     -0.44846;0.42955;     -0.43195;0.36953;     -0.47599;0.42464;     -0.47808;0.45383;     -0.47274;0.43359
185.34483;     -0.40726;      0.40919;     -0.39688;0.37668;     -0.40303;0.40291;     -0.38560;0.36822;     -0.40286;0.39332;     -0.44647;0.43001;     -0.42922;0.36987;     -0.47336;0.42515;     -0.47545;0.45439;     -0.47061;0.43415
186.34483;     -0.40654;      0.40968;     -0.39681;0.37709;     -0.40276;0.40339;     -0.38529;0.36857;     -0.40288;0.39372;     -0.44416;0.43047;     -0.42712;0.37016;     -0.47007;0.42564;     -0.47194;0.45497;     -0.46696;0.43482
187.34483;     -0.40623;      0.41017;     -0.39681;0.37748;     -0.40265;0.40387;     -0.38510;0.36896;     -0.40298;0.39413;     -0.44166;0.43098;     -0.42538;0.37037;     -0.46638;0.42614;     -0.46810;0.45553;     -0.46225;0.43535
188.34483;     -0.40540;      0.41049;     -0.39686;0.37786;     -0.40263;0.40435;     -0.38501;0.36937;     -0.40313;0.39456;     -0.43923;0.43149;     -0.42405;0.37053;     -0.46270;0.42661;     -0.46417;0.45607;     -0.45678;0.43578
189.34483;     -0.40528;      0.41113;     -0.39696;0.37823;     -0.40270;0.40478;     -0.38501;0.36976;     -0.40335;0.39503;     -0.43702;0.43196;     -0.42324;0.37075;     -0.45937;0.42701;     -0.46047;0.45662;     -0.45157;0.43613
190.34483;     -0.40530;      0.41154;     -0.39714;0.3786;     -0.40287;0.40498;     -0.38517;0.37021;     -0.40363;0.39552;     -0.43519;0.43243;     -0.42271;0.37092;     -0.45655;0.42741;     -0.45712;0.45719;     -0.44643;0.43647
191.34483;     -0.40558;      0.41197;     -0.39737;0.379;     -0.40306;0.40489;     -0.38538;0.37065;     -0.40395;0.39602;     -0.43381;0.43286;     -0.42237;0.37119;     -0.45456;0.42783;     -0.45449;0.45781;     -0.44264;0.43696
192.34483;     -0.40570;      0.41255;     -0.39767;0.37943;     -0.40330;0.40523;     -0.38568;0.37106;     -0.40429;0.39652;     -0.43281;0.43331;     -0.42227;0.37148;     -0.45325;0.42829;     -0.45255;0.45841;     -0.43932;0.43747
193.34483;     -0.40590;      0.41219;     -0.39802;0.37986;     -0.40358;0.40562;     -0.38606;0.37152;     -0.40466;0.397;     -0.43215;0.43379;     -0.42229;0.37178;     -0.45237;0.42879;     -0.45130;0.45898;     -0.43708;0.438
194.34483;     -0.40610;      0.41326;     -0.39834;0.3803;     -0.40388;0.40677;     -0.38643;0.37193;     -0.40505;0.39747;     -0.43175;0.4343;     -0.42247;0.37215;     -0.45182;0.42929;     -0.45044;0.45956;     -0.43600;0.43851
195.34483;     -0.40666;      0.41415;     -0.39870;0.3807;     -0.40419;0.4074;     -0.38683;0.37233;     -0.40541;0.39793;     -0.43153;0.43485;     -0.42282;0.37251;     -0.45142;0.4298;     -0.44992;0.46011;     -0.43541;0.439
196.34483;     -0.40700;      0.41480;     -0.39907;0.38111;     -0.40453;0.40801;     -0.38718;0.37274;     -0.40577;0.39835;     -0.43155;0.43538;     -0.42323;0.37289;     -0.45124;0.43034;     -0.44959;0.46072;     -0.43496;0.43946
197.34483;     -0.40716;      0.41535;     -0.39944;0.3815;     -0.40482;0.40851;     -0.38758;0.37313;     -0.40613;0.39878;     -0.43165;0.43592;     -0.42374;0.37335;     -0.45130;0.43088;     -0.44942;0.46132;     -0.43473;0.43994
198.34483;     -0.40719;      0.41580;     -0.39983;0.3819;     -0.40516;0.40902;     -0.38799;0.37352;     -0.40647;0.39922;     -0.43190;0.43647;     -0.42423;0.37373;     -0.45148;0.43143;     -0.44946;0.46192;     -0.43458;0.4404
199.34483;     -0.40774;      0.41640;     -0.40026;0.38235;     -0.40548;0.40954;     -0.38833;0.37386;     -0.40682;0.39969;     -0.43216;0.43702;     -0.42477;0.37417;     -0.45176;0.43198;     -0.44962;0.46254;     -0.43462;0.44091
200.34483;     -0.40810;      0.41673;     -0.40071;0.3828;     -0.40580;0.41007;     -0.38873;0.37424;     -0.40721;0.40017;     -0.43243;0.43762;     -0.42530;0.3746;     -0.45211;0.43256;     -0.44988;0.46309;     -0.43482;0.44142
